Quarter,PoliceDistrict,PoliceMerhav,TikimSum
2018-Q1,מחוז דרומי,מרחב אילת דרום,1584
2018-Q1,מחוז דרומי,מרחב לכיש,4817
2018-Q1,מחוז דרומי,מרחב נגב,7547
2018-Q1,מחוז חוף,מרחב אשר חוף,2586
2018-Q1,מחוז חוף,מרחב כרמל חוף,4234
2018-Q1,מחוז חוף,מרחב מנשה חוף,2476
2018-Q1,מחוז ירושלים,מרחב דוד ירושלים,571
2018-Q1,מחוז ירושלים,מרחב ציון ירושלים,7491
2018-Q1,מחוז ירושלים,מרחב קדם ירושלים,2593
2018-Q1,מחוז מרכז,מרחב שפלה,8449
2018-Q1,מחוז מרכז,מרחב שרון,8839
2018-Q1,מחוז צפון,מרחב גליל צפון,761
2018-Q1,מחוז צפון,מרחב כנרת צפון,1969
2018-Q1,מחוז צפון,מרחב עמקים צפון,2735
2018-Q1,מחוז שי,מרחב יהודה שי,628
2018-Q1,מחוז שי,מרחב שומרון שי,470
2018-Q1,מחוז תא,מרחב איילון החדש תא,9095
2018-Q1,מחוז תא,מרחב דן תא,3571
2018-Q1,מחוז תא,מרחב ירקון תא,5467
2018-Q2,מחוז דרומי,מרחב אילת דרום,1569
2018-Q2,מחוז דרומי,מרחב לכיש,4646
2018-Q2,מחוז דרומי,מרחב נגב,7009
2018-Q2,מחוז חוף,מרחב אשר חוף,2367
2018-Q2,מחוז חוף,מרחב כרמל חוף,4013
2018-Q2,מחוז חוף,מרחב מנשה חוף,2365
2018-Q2,מחוז ירושלים,מרחב דוד ירושלים,527
2018-Q2,מחוז ירושלים,מרחב ציון ירושלים,7798
2018-Q2,מחוז ירושלים,מרחב קדם ירושלים,2578
2018-Q2,מחוז מרכז,מרחב שפלה,8055
2018-Q2,מחוז מרכז,מרחב שרון,8388
2018-Q2,מחוז צפון,מרחב גליל צפון,721
2018-Q2,מחוז צפון,מרחב כנרת צפון,1690
2018-Q2,מחוז צפון,מרחב עמקים צפון,2370
2018-Q2,מחוז שי,מרחב יהודה שי,554
2018-Q2,מחוז שי,מרחב שומרון שי,439
2018-Q2,מחוז תא,מרחב איילון החדש תא,9314
2018-Q2,מחוז תא,מרחב דן תא,3407
2018-Q2,מחוז תא,מרחב ירקון תא,6069
2018-Q3,מחוז דרומי,מרחב אילת דרום,1660
2018-Q3,מחוז דרומי,מרחב לכיש,4773
2018-Q3,מחוז דרומי,מרחב נגב,6724
2018-Q3,מחוז חוף,מרחב אשר חוף,2290
2018-Q3,מחוז חוף,מרחב כרמל חוף,3824
2018-Q3,מחוז חוף,מרחב מנשה חוף,2020
2018-Q3,מחוז ירושלים,מרחב דוד ירושלים,497
2018-Q3,מחוז ירושלים,מרחב ציון ירושלים,7650
2018-Q3,מחוז ירושלים,מרחב קדם ירושלים,2732
2018-Q3,מחוז מרכז,מרחב שפלה,7755
2018-Q3,מחוז מרכז,מרחב שרון,7965
2018-Q3,מחוז צפון,מרחב גליל צפון,806
2018-Q3,מחוז צפון,מרחב כנרת צפון,1738
2018-Q3,מחוז צפון,מרחב עמקים צפון,2454
2018-Q3,מחוז שי,מרחב יהודה שי,505
2018-Q3,מחוז שי,מרחב שומרון שי,461
2018-Q3,מחוז תא,מרחב איילון החדש תא,9050
2018-Q3,מחוז תא,מרחב דן תא,3244
2018-Q3,מחוז תא,מרחב ירקון תא,6018
2018-Q4,מחוז דרומי,מרחב אילת דרום,1251
2018-Q4,מחוז דרומי,מרחב לכיש,4642
2018-Q4,מחוז דרומי,מרחב נגב,6913
2018-Q4,מחוז חוף,מרחב אשר חוף,2302
2018-Q4,מחוז חוף,מרחב כרמל חוף,3755
2018-Q4,מחוז חוף,מרחב מנשה חוף,2229
2018-Q4,מחוז ירושלים,מרחב דוד ירושלים,444
2018-Q4,מחוז ירושלים,מרחב ציון ירושלים,7568
2018-Q4,מחוז ירושלים,מרחב קדם ירושלים,2808
2018-Q4,מחוז מרכז,מרחב שפלה,7460
2018-Q4,מחוז מרכז,מרחב שרון,8333
2018-Q4,מחוז צפון,מרחב גליל צפון,694
2018-Q4,מחוז צפון,מרחב כנרת צפון,1589
2018-Q4,מחוז צפון,מרחב עמקים צפון,2588
