StatisticCrimeGroup,Cluster,Quarter,TikimSum,norm
סעיפי הגדרה,1.0,2018-Q2,1,0.042894529151209934
סעיפי הגדרה,1.0,2018-Q3,5,0.21447264575604968
סעיפי הגדרה,1.0,2018-Q4,4,0.17157811660483974
סעיפי הגדרה,1.0,2019-Q1,2,0.08578905830241987
סעיפי הגדרה,1.0,2019-Q2,1,0.042894529151209934
סעיפי הגדרה,1.0,2019-Q3,1,0.042894529151209934
סעיפי הגדרה,1.0,2020-Q1,1,0.042894529151209934
סעיפי הגדרה,1.0,2020-Q3,2,0.08578905830241987
סעיפי הגדרה,1.0,2021-Q2,1,0.042894529151209934
סעיפי הגדרה,1.0,2021-Q3,1,0.042894529151209934
סעיפי הגדרה,1.0,2021-Q4,1,0.042894529151209934
סעיפי הגדרה,1.0,2022-Q1,3,0.1286835874536298
סעיפי הגדרה,1.0,2022-Q2,1,0.042894529151209934
סעיפי הגדרה,1.0,2022-Q3,1,0.042894529151209934
סעיפי הגדרה,1.0,2023-Q1,1,0.042894529151209934
סעיפי הגדרה,2.0,2018-Q1,19,3.989160361861132
סעיפי הגדרה,2.0,2018-Q2,13,2.729425510747091
סעיפי הגדרה,2.0,2018-Q3,21,4.409071978899147
סעיפי הגדרה,2.0,2018-Q4,12,2.5194697022280836
סעיפי הגדרה,2.0,2019-Q1,22,4.619027787418153
סעיפי הגדרה,2.0,2019-Q2,25,5.2488952129751745
סעיפי הגדרה,2.0,2019-Q3,26,5.458851021494182
סעיפי הגדרה,2.0,2019-Q4,16,3.3592929363041115
סעיפי הגדרה,2.0,2020-Q1,24,5.038939404456167
סעיפי הגדרה,2.0,2020-Q2,19,3.989160361861132
סעיפי הגדרה,2.0,2020-Q3,11,2.3095138937090764
סעיפי הגדרה,2.0,2020-Q4,23,4.82898359593716
סעיפי הגדרה,2.0,2021-Q1,17,3.5692487448231187
סעיפי הגדרה,2.0,2021-Q2,21,4.409071978899147
סעיפי הגדרה,2.0,2021-Q3,8,1.6796464681520558
סעיפי הגדרה,2.0,2021-Q4,16,3.3592929363041115
סעיפי הגדרה,2.0,2022-Q1,6,1.2597348511140418
סעיפי הגדרה,2.0,2022-Q2,13,2.729425510747091
סעיפי הגדרה,2.0,2022-Q3,11,2.3095138937090764
סעיפי הגדרה,2.0,2022-Q4,9,1.8896022766710627
סעיפי הגדרה,2.0,2023-Q1,7,1.4696906596330488
סעיפי הגדרה,3.0,2018-Q1,2,0.16261385283388477
סעיפי הגדרה,3.0,2018-Q3,2,0.16261385283388477
סעיפי הגדרה,3.0,2019-Q1,2,0.16261385283388477
סעיפי הגדרה,3.0,2019-Q2,1,0.08130692641694238
סעיפי הגדרה,3.0,2019-Q4,6,0.48784155850165434
סעיפי הגדרה,3.0,2020-Q1,2,0.16261385283388477
סעיפי הגדרה,3.0,2020-Q2,1,0.08130692641694238
סעיפי הגדרה,3.0,2020-Q3,1,0.08130692641694238
סעיפי הגדרה,3.0,2021-Q1,1,0.08130692641694238
סעיפי הגדרה,3.0,2021-Q2,1,0.08130692641694238
סעיפי הגדרה,3.0,2021-Q4,1,0.08130692641694238
סעיפי הגדרה,3.0,2022-Q1,2,0.16261385283388477
סעיפי הגדרה,3.0,2022-Q2,2,0.16261385283388477
סעיפי הגדרה,3.0,2023-Q1,1,0.08130692641694238
סעיפי הגדרה,4.0,2018-Q1,4,0.15123820982084327
סעיפי הגדרה,4.0,2018-Q2,1,0.03780955245521082
סעיפי הגדרה,4.0,2018-Q3,2,0.07561910491042163
סעיפי הגדרה,4.0,2018-Q4,5,0.18904776227605408
סעיפי הגדרה,4.0,2019-Q1,4,0.15123820982084327
סעיפי הגדרה,4.0,2019-Q2,1,0.03780955245521082
סעיפי הגדרה,4.0,2019-Q3,3,0.11342865736563246
סעיפי הגדרה,4.0,2019-Q4,12,0.45371462946252983
סעיפי הגדרה,4.0,2020-Q1,3,0.11342865736563246
סעיפי הגדרה,4.0,2020-Q2,14,0.5293337343729514
סעיפי הגדרה,4.0,2020-Q3,3,0.11342865736563246
סעיפי הגדרה,4.0,2020-Q4,4,0.15123820982084327
סעיפי הגדרה,4.0,2021-Q1,2,0.07561910491042163
סעיפי הגדרה,4.0,2021-Q2,6,0.22685731473126491
סעיפי הגדרה,4.0,2021-Q3,2,0.07561910491042163
סעיפי הגדרה,4.0,2021-Q4,2,0.07561910491042163
סעיפי הגדרה,4.0,2022-Q1,1,0.03780955245521082
סעיפי הגדרה,4.0,2022-Q2,1,0.03780955245521082
סעיפי הגדרה,4.0,2023-Q1,1,0.03780955245521082
סעיפי הגדרה,5.0,2018-Q1,19,3.1664224438223187
סעיפי הגדרה,5.0,2018-Q2,20,3.3330762566550725
סעיפי הגדרה,5.0,2018-Q3,16,2.666461005324058
סעיפי הגדרה,5.0,2018-Q4,10,1.6665381283275362
סעיפי הגדרה,5.0,2019-Q1,15,2.4998071924913043
סעיפי הגדרה,5.0,2019-Q2,19,3.1664224438223187
סעיפי הגדרה,5.0,2019-Q3,17,2.8331148181568118
סעיפי הגדרה,5.0,2019-Q4,13,2.1664995668257974
סעיפי הגדרה,5.0,2020-Q1,10,1.6665381283275362
סעיפי הגדרה,5.0,2020-Q2,19,3.1664224438223187
סעיפי הגדרה,5.0,2020-Q3,20,3.3330762566550725
סעיפי הגדרה,5.0,2020-Q4,10,1.6665381283275362
סעיפי הגדרה,5.0,2021-Q1,19,3.1664224438223187
סעיפי הגדרה,5.0,2021-Q2,14,2.3331533796585506
סעיפי הגדרה,5.0,2021-Q3,10,1.6665381283275362
סעיפי הגדרה,5.0,2021-Q4,8,1.333230502662029
סעיפי הגדרה,5.0,2022-Q1,7,1.1665766898292753
סעיפי הגדרה,5.0,2022-Q2,12,1.9998457539930437
סעיפי הגדרה,5.0,2022-Q3,4,0.6666152513310145
סעיפי הגדרה,5.0,2022-Q4,7,1.1665766898292753
סעיפי הגדרה,5.0,2023-Q1,4,0.6666152513310145
סעיפי הגדרה,6.0,2018-Q1,1,0.07319487183442205
סעיפי הגדרה,6.0,2018-Q2,5,0.3659743591721103
סעיפי הגדרה,6.0,2018-Q3,4,0.2927794873376882
סעיפי הגדרה,6.0,2018-Q4,3,0.21958461550326616
סעיפי הגדרה,6.0,2019-Q1,6,0.4391692310065323
סעיפי הגדרה,6.0,2019-Q2,30,2.195846155032662
סעיפי הגדרה,6.0,2019-Q3,8,0.5855589746753764
סעיפי הגדרה,6.0,2019-Q4,8,0.5855589746753764
סעיפי הגדרה,6.0,2020-Q1,4,0.2927794873376882
סעיפי הגדרה,6.0,2020-Q2,4,0.2927794873376882
סעיפי הגדרה,6.0,2020-Q3,7,0.5123641028409543
סעיפי הגדרה,6.0,2020-Q4,10,0.7319487183442206
סעיפי הגדרה,6.0,2021-Q1,8,0.5855589746753764
סעיפי הגדרה,6.0,2021-Q2,6,0.4391692310065323
סעיפי הגדרה,6.0,2021-Q3,19,1.390702564854019
סעיפי הגדרה,6.0,2021-Q4,15,1.097923077516331
סעיפי הגדרה,6.0,2022-Q1,23,1.6834820521917073
סעיפי הגדרה,6.0,2022-Q2,30,2.195846155032662
סעיפי הגדרה,6.0,2022-Q3,4,0.2927794873376882
סעיפי הגדרה,6.0,2022-Q4,2,0.1463897436688441
סעיפי הגדרה,6.0,2023-Q1,7,0.5123641028409543
סעיפי הגדרה,7.0,2018-Q1,26,5.0626572987925105
סעיפי הגדרה,7.0,2018-Q2,26,5.0626572987925105
סעיפי הגדרה,7.0,2018-Q3,16,3.115481414641545
סעיפי הגדרה,7.0,2018-Q4,11,2.1418934725660623
סעיפי הגדרה,7.0,2019-Q1,16,3.115481414641545
סעיפי הגדרה,7.0,2019-Q2,14,2.726046237811352
סעיפי הגדרה,7.0,2019-Q3,14,2.726046237811352
סעיפי הגדרה,7.0,2019-Q4,56,10.904184951245409
סעיפי הגדרה,7.0,2020-Q1,12,2.336611060981159
סעיפי הגדרה,7.0,2020-Q2,14,2.726046237811352
סעיפי הגדרה,7.0,2020-Q3,16,3.115481414641545
סעיפי הגדרה,7.0,2020-Q4,40,7.788703536603863
סעיפי הגדרה,7.0,2021-Q1,15,2.9207638262264486
סעיפי הגדרה,7.0,2021-Q2,13,2.5313286493962552
סעיפי הגדרה,7.0,2021-Q3,11,2.1418934725660623
סעיפי הגדרה,7.0,2021-Q4,16,3.115481414641545
סעיפי הגדרה,7.0,2022-Q1,13,2.5313286493962552
סעיפי הגדרה,7.0,2022-Q2,21,4.089069356717028
סעיפי הגדרה,7.0,2022-Q3,13,2.5313286493962552
סעיפי הגדרה,7.0,2022-Q4,14,2.726046237811352
סעיפי הגדרה,7.0,2023-Q1,4,0.7788703536603863
סעיפי הגדרה,8.0,2018-Q1,19,2.747140664646044
סעיפי הגדרה,8.0,2018-Q2,26,3.759245120041955
סעיפי הגדרה,8.0,2018-Q3,23,3.325486067729422
סעיפי הגדרה,8.0,2018-Q4,16,2.3133816123335107
סעיפי הגדרה,8.0,2019-Q1,27,3.9038314708127992
סעיפי הגדרה,8.0,2019-Q2,25,3.6146587692711103
סעיפי הגדרה,8.0,2019-Q3,17,2.457967963104355
סעיפי הגדרה,8.0,2019-Q4,18,2.6025543138751996
סעיפי הגדרה,8.0,2020-Q1,9,1.3012771569375998
סעיפי הגדרה,8.0,2020-Q2,8,1.1566908061667553
סעיפי הגדרה,8.0,2020-Q3,10,1.4458635077084443
סעיפי הגדרה,8.0,2020-Q4,5,0.7229317538542221
סעיפי הגדרה,8.0,2021-Q1,14,2.0242089107918217
סעיפי הגדרה,8.0,2021-Q2,14,2.0242089107918217
סעיפי הגדרה,8.0,2021-Q3,7,1.0121044553959109
סעיפי הגדרה,8.0,2021-Q4,11,1.5904498584792885
סעיפי הגדרה,8.0,2022-Q1,10,1.4458635077084443
סעיפי הגדרה,8.0,2022-Q2,24,3.470072418500266
סעיפי הגדרה,8.0,2022-Q3,9,1.3012771569375998
סעיפי הגדרה,8.0,2022-Q4,10,1.4458635077084443
סעיפי הגדרה,8.0,2023-Q1,12,1.735036209250133
סעיפי הגדרה,9.0,2018-Q1,1,0.04565167652555728
סעיפי הגדרה,9.0,2018-Q2,1,0.04565167652555728
סעיפי הגדרה,9.0,2018-Q3,4,0.18260670610222912
סעיפי הגדרה,9.0,2018-Q4,3,0.13695502957667183
סעיפי הגדרה,9.0,2019-Q2,2,0.09130335305111456
סעיפי הגדרה,9.0,2019-Q3,2,0.09130335305111456
סעיפי הגדרה,9.0,2019-Q4,4,0.18260670610222912
סעיפי הגדרה,9.0,2020-Q1,1,0.04565167652555728
סעיפי הגדרה,9.0,2020-Q3,2,0.09130335305111456
סעיפי הגדרה,9.0,2020-Q4,1,0.04565167652555728
סעיפי הגדרה,9.0,2021-Q1,5,0.22825838262778642
סעיפי הגדרה,9.0,2021-Q2,3,0.13695502957667183
סעיפי הגדרה,9.0,2021-Q3,3,0.13695502957667183
סעיפי הגדרה,9.0,2021-Q4,2,0.09130335305111456
סעיפי הגדרה,9.0,2022-Q1,3,0.13695502957667183
סעיפי הגדרה,9.0,2022-Q2,3,0.13695502957667183
סעיפי הגדרה,9.0,2022-Q3,3,0.13695502957667183
סעיפי הגדרה,9.0,2022-Q4,2,0.09130335305111456
סעיפי הגדרה,9.0,2023-Q1,1,0.04565167652555728
סעיפי הגדרה,10.0,2018-Q4,2,0.006457766157911921
סעיפי הגדרה,10.0,2019-Q3,1,0.0032288830789559604
סעיפי הגדרה,10.0,2019-Q4,4,0.012915532315823841
עבירות בטחון,1.0,2018-Q1,17,0.7292069955705689
עבירות בטחון,1.0,2018-Q2,24,1.0294686996290383
עבירות בטחון,1.0,2018-Q3,30,1.286835874536298
עבירות בטחון,1.0,2018-Q4,37,1.5870975785947676
עבירות בטחון,1.0,2019-Q1,21,0.9007851121754086
עבירות בטחון,1.0,2019-Q2,22,0.9436796413266185
עבירות בטחון,1.0,2019-Q3,22,0.9436796413266185
עבירות בטחון,1.0,2019-Q4,10,0.42894529151209937
עבירות בטחון,1.0,2020-Q1,21,0.9007851121754086
עבירות בטחון,1.0,2020-Q2,19,0.8149960538729888
עבירות בטחון,1.0,2020-Q3,33,1.4155194619899278
עבירות בטחון,1.0,2020-Q4,28,1.201046816233878
עבירות בטחון,1.0,2021-Q1,56,2.402093632467756
עבירות בטחון,1.0,2021-Q2,85,3.6460349778528442
עבירות בטחון,1.0,2021-Q3,55,2.3591991033165463
עבירות בטחון,1.0,2021-Q4,38,1.6299921077459776
עבירות בטחון,1.0,2022-Q1,39,1.6728866368971875
עבירות בטחון,1.0,2022-Q2,58,2.487882690770176
עבירות בטחון,1.0,2022-Q3,18,0.7721015247217788
עבירות בטחון,1.0,2022-Q4,49,2.1018319284092866
