,StatisticCrimeGroup,StatisticCrimeType,Quarter,Religious level,TikimSum
0,סעיפי הגדרה,סעיפי הגדרה,2018-Q1,דתיים,20
1,סעיפי הגדרה,סעיפי הגדרה,2018-Q1,חילונים,61
2,סעיפי הגדרה,סעיפי הגדרה,2018-Q1,חרדים,2
3,סעיפי הגדרה,סעיפי הגדרה,2018-Q1,מסורתיים,8
4,סעיפי הגדרה,סעיפי הגדרה,2018-Q2,דתיים,11
5,סעיפי הגדרה,סעיפי הגדרה,2018-Q2,חילונים,74
6,סעיפי הגדרה,סעיפי הגדרה,2018-Q2,חרדים,3
7,סעיפי הגדרה,סעיפי הגדרה,2018-Q2,מסורתיים,5
8,סעיפי הגדרה,סעיפי הגדרה,2018-Q3,דתיים,21
9,סעיפי הגדרה,סעיפי הגדרה,2018-Q3,חילונים,55
10,סעיפי הגדרה,סעיפי הגדרה,2018-Q3,חרדים,3
11,סעיפי הגדרה,סעיפי הגדרה,2018-Q3,מסורתיים,14
12,סעיפי הגדרה,סעיפי הגדרה,2018-Q4,דתיים,16
13,סעיפי הגדרה,סעיפי הגדרה,2018-Q4,חילונים,43
14,סעיפי הגדרה,סעיפי הגדרה,2018-Q4,חרדים,4
15,סעיפי הגדרה,סעיפי הגדרה,2018-Q4,מסורתיים,3
16,סעיפי הגדרה,סעיפי הגדרה,2019-Q1,דתיים,22
17,סעיפי הגדרה,סעיפי הגדרה,2019-Q1,חילונים,64
18,סעיפי הגדרה,סעיפי הגדרה,2019-Q1,חרדים,2
19,סעיפי הגדרה,סעיפי הגדרה,2019-Q1,מסורתיים,6
20,סעיפי הגדרה,סעיפי הגדרה,2019-Q2,דתיים,17
21,סעיפי הגדרה,סעיפי הגדרה,2019-Q2,חילונים,85
22,סעיפי הגדרה,סעיפי הגדרה,2019-Q2,חרדים,9
23,סעיפי הגדרה,סעיפי הגדרה,2019-Q2,מסורתיים,7
24,סעיפי הגדרה,סעיפי הגדרה,2019-Q3,דתיים,19
25,סעיפי הגדרה,סעיפי הגדרה,2019-Q3,חילונים,51
26,סעיפי הגדרה,סעיפי הגדרה,2019-Q3,חרדים,9
